No,Gender,Education,Working Status,Marriage Style,Status of Having a Child,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21
256,1,3,2,2,1,0,0,0,1,0,0,0,0,0,0,2,0,2,0,0,1,1,0,0,1,0
204,1,2,2,2,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,1,1
237,1,3,2,2,1,0,0,0,1,0,1,0,0,0,3,2,2,2,0,2,1,1,0,0,3,1
405,1,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
406,1,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,1,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
200,1,3,2,2,2,1,0,0,1,1,0,0,3,0,1,2,1,1,0,1,2,0,1,3,0,0
58,1,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,2
25,1,3,2,2,2,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0
23,1,3,2,1,2,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,2,1,0,0,1,0
375,1,3,2,2,2,0,0,2,2,1,3,1,1,0,0,0,2,1,1,2,0,1,0,0,0,2
264,1,4,2,2,2,1,0,0,1,1,1,1,1,0,0,0,1,1,1,0,0,2,0,0,0,0
123,1,3,2,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,1,3,2,2,2,1,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0
352,1,3,2,2,2,1,2,1,1,1,1,0,1,0,3,2,1,1,1,0,1,1,0,0,1,3
138,1,3,2,2,2,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0
362,1,3,2,2,2,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,2,0,0,1,0
53,1,2,2,2,2,0,2,2,3,0,1,0,1,0,0,2,0,0,0,1,0,3,0,0,0,1
279,1,3,2,1,2,0,0,0,1,0,0,0,0,0,0,0,3,1,0,0,1,1,0,0,1,0
150,1,4,2,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
67,1,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,1,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
268,1,3,2,2,2,0,0,2,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0
355,1,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
368,1,3,2,2,2,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1
102,1,4,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
261,1,2,2,2,1,1,0,0,1,1,1,1,0,0,0,2,0,1,0,0,1,1,1,2,1,0
397,1,1,2,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1
258,1,3,2,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,0,1
96,1,4,2,1,1,0,1,1,0,1,1,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0
318,1,2,2,1,1,0,0,0,1,1,0,1,0,0,1,1,1,1,0,1,1,1,0,0,0,0
240,1,2,2,2,1,1,0,0,1,1,1,1,0,1,1,2,1,1,1,1,1,1,0,0,1,1
407,1,3,2,2,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,1,3,2,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
315,1,3,2,1,1,0,0,0,1,1,3,0,0,0,1,0,1,0,0,2,1,1,0,0,1,1
183,1,3,2,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
165,1,3,2,2,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
26,1,3,2,2,1,0,0,1,0,1,1,0,1,0,1,1,1,1,1,1,0,1,0,0,1,2
16,1,3,2,2,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0
168,1,3,2,2,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0
17,1,3,2,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1
146,1,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
87,1,2,2,2,1,0,0,0,0,0,0,0,1,0,3,0,1,2,0,0,3,1,0,0,0,2
8,1,3,2,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0
145,1,3,2,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
157,1,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
418,1,2,2,2,2,2,2,1,0,1,1,1,2,2,1,0,2,3,0,0,0,0,0,1,1,1
346,1,3,2,2,2,0,1,3,2,2,1,2,1,0,0,1,1,1,1,2,1,2,1,0,1,0
371,1,4,2,2,2,3,3,3,3,2,1,1,2,1,1,2,2,2,1,1,3,3,1,0,2,2
340,1,3,2,2,2,0,0,0,3,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,2
101,1,3,2,2,2,0,0,0,0,1,0,0,0,0,0,1,1,1,0,2,0,0,0,0,0,0
370,1,3,2,2,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
110,1,3,2,2,2,1,0,0,0,0,2,0,2,1,1,2,2,2,0,0,2,1,0,0,0,0
267,1,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
373,1,3,2,1,1,1,1,2,1,2,3,1,2,1,3,1,1,2,2,1,2,1,1,1,1,1
385,1,1,2,1,1,1,1,1,1,2,1,1,0,1,1,0,0,1,2,2,1,0,2,1,0,0
282,1,1,2,2,1,0,1,1,0,1,0,0,0,1,1,1,0,0,2,0,0,0,2,1,1,1
19,1,3,2,2,1,1,0,0,1,1,3,1,2,0,3,2,2,2,1,1,1,2,1,0,1,0
46,1,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1
411,1,3,1,2,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0
80,1,3,1,1,1,0,0,0,1,1,0,0,1,0,0,2,1,1,0,1,1,1,0,0,0,0
115,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,0,1,0,1,1,1,1,0,1,0
10,1,3,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,2,1,0,0,1,1
134,1,3,1,1,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
134,1,3,1,1,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
81,1,1,1,1,1,2,0,2,1,2,1,1,1,1,3,2,2,0,1,1,1,2,0,0,0,3
99,1,3,1,2,1,0,0,0,1,1,1,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0
99,1,3,1,2,1,0,0,0,1,1,1,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0
421,1,2,1,2,1,0,0,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
182,1,2,1,2,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0
194,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
269,1,1,1,2,1,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0
353,1,3,1,1,2,0,0,2,0,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0
306,1,3,1,1,2,2,2,3,2,0,0,1,1,0,2,2,1,0,1,3,0,2,0,0,3,0
43,1,4,1,1,2,0,0,0,0,1,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0
188,1,4,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
296,1,2,1,2,1,2,0,0,1,1,1,1,1,0,2,2,1,2,1,2,1,1,1,2,1,1
410,1,3,1,1,1,1,1,2,1,1,0,1,0,0,3,2,2,2,1,2,1,3,1,0,0,1
414,1,2,1,2,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1
412,1,3,1,2,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
218,1,3,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0
44,1,3,1,2,1,0,0,0,1,1,1,0,2,1,0,2,2,0,1,1,0,1,0,0,0,0
358,1,3,1,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
62,1,3,1,2,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
312,1,4,1,2,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0
433,1,3,1,2,2,0,0,0,1,0,3,2,0,0,0,0,1,1,0,0,0,1,1,0,1,1
27,1,3,1,2,2,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
28,1,3,1,2,2,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
39,1,2,1,2,2,3,2,0,2,3,0,0,1,0,3,2,1,2,0,1,0,1,0,0,1,2
409,1,3,1,2,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,3,3,1,1,2,0,3
251,1,2,1,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1
203,1,3,1,2,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,3,0,0
197,1,1,1,1,1,2,2,1,1,1,2,1,1,0,0,0,1,0,0,2,2,2,1,1,1,0
191,1,2,1,2,1,1,2,3,2,2,1,2,2,0,0,2,2,1,2,2,0,2,0,0,0,2
166,1,4,1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0
320,1,3,1,2,1,0,0,0,1,1,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,2
286,1,2,1,2,1,1,0,2,1,1,1,1,1,0,0,2,2,2,0,2,2,1,0,0,0,0
143,1,2,1,2,1,0,0,0,0,1,0,1,1,0,0,2,0,2,1,1,1,1,0,0,0,1
300,1,2,1,2,1,2,0,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,1,0
311,1,3,1,2,1,0,0,1,2,1,0,1,0,0,3,0,3,0,1,0,0,1,0,0,1,0
105,1,2,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,1,3,1,2,1,0,1,0,3,1,0,0,0,0,0,0,2,0,0,0,1,1,1,0,0,0
61,1,2,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,1,3,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
70,1,2,1,2,1,0,0,2,0,1,0,0,1,0,0,3,0,0,0,0,1,1,0,0,1,2
169,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
330,1,1,1,1,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0
74,1,3,1,2,1,0,0,0,0,0,0,0,0,0,1,2,1,1,0,1,3,2,1,0,0,1
217,1,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,1,4,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,1,3,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
378,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,2,1
367,1,3,1,1,2,2,1,0,1,1,1,0,0,0,0,2,2,2,0,1,1,2,0,0,0,0
55,1,2,1,2,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
38,1,3,1,2,2,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
82,1,3,1,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0
136,1,4,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
29,1,2,1,1,1,2,1,2,1,1,1,2,2,1,3,0,1,1,1,3,1,1,0,0,3,2
236,1,2,1,1,1,1,1,0,1,1,1,2,2,0,3,1,1,0,2,2,0,2,0,0,0,1
172,1,3,1,2,1,2,2,2,1,1,0,2,2,1,3,3,2,0,1,1,1,1,0,0,2,1
15,1,3,1,2,1,0,0,0,0,1,1,2,1,0,1,0,1,2,1,1,2,1,0,0,1,0
316,1,2,1,2,1,2,0,2,1,1,1,2,0,0,1,2,2,1,2,3,1,0,0,0,0,1
435,1,3,1,1,1,2,0,1,2,1,0,1,1,0,3,2,1,1,1,1,1,1,1,0,1,1
313,1,2,1,1,1,2,0,0,2,1,0,1,1,0,0,0,2,1,0,3,3,2,0,0,1,2
158,1,3,1,2,1,1,0,2,2,1,1,1,1,1,2,2,2,0,1,1,1,2,1,0,0,1
291,1,2,1,2,1,1,0,0,1,1,3,1,1,0,1,2,1,0,1,2,3,1,0,0,1,1
413,1,1,1,2,1,0,2,0,1,0,3,1,1,0,2,2,2,1,1,1,3,1,1,0,3,2
91,1,3,1,2,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0
319,1,1,1,2,1,0,2,0,1,1,0,0,1,0,1,2,1,0,0,0,1,1,0,0,1,0
180,1,3,1,1,1,0,0,0,1,1,0,0,1,0,0,1,1,0,1,1,1,1,0,0,0,0
106,1,3,1,1,1,0,0,0,1,1,0,0,0,0,1,0,1,1,1,1,1,2,0,0,1,2
174,1,2,1,1,1,1,0,0,1,1,0,0,0,0,2,0,1,0,0,0,1,1,0,0,1,0
186,1,2,1,2,1,2,0,0,1,1,1,0,1,1,3,3,1,2,0,1,0,1,1,0,0,1
425,1,2,1,2,1,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
403,1,1,1,1,1,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2
198,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,0,0
199,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,0,0
111,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,1,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0,0,1
323,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
249,1,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,1,2,1,2,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1
356,1,3,1,2,2,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
348,1,3,1,2,2,1,1,0,1,1,0,1,1,0,0,0,1,1,0,1,1,1,0,1,1,0
365,1,2,1,2,2,0,3,2,1,0,0,0,0,0,1,1,0,1,1,0,0,0,2,1,1,1
128,1,3,1,2,2,2,1,2,1,2,1,1,2,0,1,2,2,2,1,3,1,2,0,0,2,0
395,1,3,1,2,2,2,2,2,1,2,1,1,1,0,3,0,1,1,0,2,1,2,0,0,0,0
396,1,3,1,2,2,2,2,2,1,2,1,1,1,0,3,0,1,1,0,2,1,2,0,0,0,0
399,1,4,1,2,2,1,1,0,1,1,3,1,0,1,1,1,2,0,0,0,1,1,0,0,0,0
388,1,3,1,2,2,1,1,2,1,1,1,1,1,0,0,1,1,1,1,2,1,1,0,0,2,2
387,1,3,1,2,2,3,1,2,1,1,1,1,1,1,2,1,2,1,1,1,1,2,0,0,1,2
343,1,3,1,2,2,1,2,2,2,1,1,1,2,0,3,3,2,3,1,1,1,2,3,0,1,0
357,1,3,1,1,2,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
162,1,3,1,2,2,0,0,0,0,1,1,1,0,0,0,2,0,0,0,1,2,0,0,0,0,0
364,1,3,1,2,2,0,0,2,1,1,0,1,1,1,0,0,2,0,1,1,0,1,0,0,0,1
383,1,3,1,2,2,0,0,0,1,0,1,1,1,0,3,0,2,1,1,1,1,1,0,0,0,0
302,1,2,1,2,2,1,1,0,1,1,1,0,1,0,1,2,2,0,1,0,1,2,0,0,1,2
366,1,3,1,2,2,0,0,0,0,1,0,0,1,0,1,2,1,1,0,1,1,0,0,0,1,0
349,1,3,1,2,2,0,0,0,1,1,1,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0
376,1,3,1,2,2,0,1,0,0,0,0,0,0,0,0,0,1,0,3,2,1,0,0,0,0,0
380,1,3,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
381,1,3,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
354,1,3,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
398,1,3,1,2,2,0,0,0,0,0,0,0,0,1,2,2,2,0,1,1,1,1,0,0,0,0
386,1,1,1,1,1,2,2,1,0,1,0,2,2,1,0,3,1,0,0,0,1,0,0,1,1,1
351,1,2,1,2,1,0,0,2,1,0,3,1,1,0,0,1,1,0,1,1,1,1,0,1,0,1
263,1,2,1,1,1,1,1,3,2,2,2,2,1,2,3,2,0,3,2,3,1,3,0,0,1,0
400,1,3,1,2,1,1,1,0,1,1,3,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1
175,1,2,1,2,1,2,2,3,1,1,3,1,2,1,2,3,2,2,2,3,0,2,0,0,1,2
273,1,3,1,1,1,1,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0
281,1,1,1,1,1,0,0,0,0,1,3,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0
125,1,2,1,2,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0
372,1,2,1,2,1,0,1,0,1,0,0,1,1,0,3,2,1,0,0,0,0,1,0,0,1,1
177,1,3,1,2,1,0,0,1,0,0,0,1,1,0,0,0,3,1,3,3,0,1,0,0,1,1
195,1,2,1,2,1,1,2,0,2,1,1,0,0,0,1,2,1,2,1,1,1,1,0,0,0,1
325,1,3,1,2,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
305,1,3,1,2,1,2,0,0,1,1,1,0,1,1,3,2,1,2,1,3,1,2,0,0,1,1
255,1,3,1,2,1,0,0,0,1,1,0,0,1,0,0,2,0,1,0,0,0,1,0,0,1,0
142,1,2,1,1,1,1,1,0,0,0,0,0,1,0,0,2,0,2,0,0,0,0,0,0,0,0
401,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
244,1,2,1,1,1,0,0,0,1,0,0,0,1,0,0,1,1,0,1,1,0,1,0,0,1,2
333,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,1,2,0,0,2,1
350,1,3,1,2,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
225,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
